Sample_ID	Isolate_ID	Initials_worker	Date_liq_culture	Past_growth_notes	Current_growth_notes	Dilution	Date_InhibPlate_inoc	Measure_day1	Measure_day2	Measure_day3	Max_inhib_zone	ColonyDescription_InhibPlate	ColonyDescription_Past	Description_match?	Sanger_name
24L_2	24L	MYC	7-30-20	round 2 retry		Y	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth, irregular edge"			
25A_2	25A	MYC	7-27-20	round 2 retry	Grew for longer time; from previous batch	N	8-2-2020	no Bd lawn yet	failed	failed	NA	"white, smooth"			
25B_2_clear	25B	MYC	7-30-20	* there were two isolates; used clear one; round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA				
25B_2_solid	25B	MYC	7-30-20	* there were two isolates; used opaque one; round 2 retry		N	8-2-2020	no Bd lawn yet	failed	failed	NA				
BTB_16	BTB_16			Did not grow in liquid culture last time							NA		"clear, flat colonies, solid edge"		"Undibacterium oligocarboniphilum strain EM 1 16S ribosomal RNA, partial sequence"
BTB_20	BTB_20			Did not grow in liquid culture last time							NA		"very concentrated hot pink, clear like jello, shiny, solid edge"		"Siccationidurans antarcticus strain VUG-A42aa 16S ribosomal RNA, partial sequence"
BTB_21	BTB_21			did not grow on master plates last semester							NA		"goopy, colonies grow into each other, white but clear, shiny"		"Pseudoduganella danionis strain E3/2 16S ribosomal RNA, partial sequence"
BTB_24	BTB_24			Did not grow in liquid culture last time							NA		"clear yellow, shiny, individual colonies that sometimes grow into each other like one blob"		"Flavobacterium tiangeerense strain 0563 16S ribosomal RNA, partial sequence"
BTB_26	BTB_26			did not grow on master plates last semester							NA		"orange, old culture clear but newer colonies milky and solid, shiny, solid edge and individual colonies"		"Chryseobacterium soli strain JS6-6 16S ribosomal RNA, partial sequence"
BTB_29	BTB_29			did not grow on master plates last semester							NA		"clear, white with yellow tinge, very spreading colonies, circular with solid edge"		"Pseudomonas gessardii strain CIP 105469 16S ribosomal RNA, partial sequence"
BTB_37	BTB_37			did not grow on master plates last semester							NA		"clear white, clear edge, small colonies, shiny"		"Citrobacter freundii strain NBRC 12681 16S ribosomal RNA, partial sequence"
BTB_39	BTB_39			did not grow on master plates last semester							NA		"clear white, clear edge, small colonies, shiny"		"Lactococcus garvieae strain JCM 10343 16S ribosomal RNA, partial sequence"
BTB_46	BTB_46			did not grow on master plates last semester							NA		"orange transparent, thick growth, colonies grow into each other in an irregular edged way"		"Chryseobacterium carnipullorum strain 9_R23581 16S ribosomal RNA, partial sequence"
BTB_50	BTB_50			did not grow on master plates last semester							NA		"light orange/cream, opaque, goopy/blebby growth, spreading, few individual colonies"		"Pseudomonas silesiensis strain A3 16S ribosomal RNA, complete sequence"
BTB_56	BTB_56			did not grow on master plates last semester							NA		"yellow transparent, clear edge, individual colonies but blebby growth into one another, shiny"		"Pseudomonas parafulva NBRC 16636 = DSM 17004 16S ribosomal RNA, partial sequence"
BTB_61	BTB_61			did not grow on master plates last semester	grew						NA		"white opaque growth, slow, sparse, shiny colony; synergistic growth with chryseo in lit"		"Microbacterium maritypicum strain DSM 12512 16S ribosomal RNA, partial sequence"
BTB_62	BTB_62			did not grow on master plates last semester	grew						NA		"dark orange, thick, goopy growth, probably makes biofilm, solid edge"		"Sphingomonas glacialis strain C16y 16S ribosomal RNA, partial sequence"
BTB_7	BTB_7				** Couldn't find??						NA		transparent mat of colony growth		"Pseudomonas migulae strain NBRC 103157 16S ribosomal RNA, partial sequence"
BTB_8	BTB_8			did not grow on master plates last semester							NA		"creamy yellow, solid edge, opaque, shiny"		"Paenarthrobacter nicotinovorans strain DSM 420 16S ribosomal RNA, partial sequence"
17G_2	17G	MYC	NA	Didn't grow on plate from last time							NA				
13C_3	13C	AA	2008-08-20	round 3 retry		Y	2008-12-20	no Bd lawn yet	"very light, fuzzy zone, but not super visible yet (lawn is growing slower than in the past)"	"2,3"	2.5	"white, smooth, shiny"			
50B_2	50B_2	AA	2008-08-20	round 2 retry		N	2008-12-20	no Bd lawn yet	"6,5"	"4,4 (strong edge)"	4	"clear (white), smooth, shiny"			
BTB_47_3	BTB_47	AA	2008-08-20	round 3 retry		N	2008-12-20	no Bd lawn yet	"5 (fuzzy edge, other lawn not grown enough to be super visible)"	"7,6"	6.5	"white, somewhat clear, smooth, shiny"			
21A_3	21A	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"1,3"	2	"clear, slower growing, smooth, shiny"			
20A_3	20A	AA	2008-08-20	should do trial on its own plate; round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"1,2 (very unclear edge, basically a gradient of inhibition for ~4-5 mm)"	1.5	"white, matte, smooth, edges lobate and shinier than middle"			
22C_3	22C	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"clear, very slow growing"			
54G_2	54G	AA	2008-08-20	round 2 retry		Y	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, smooth, shiny"			
54D_2	54D	AA	2008-08-20	round 2 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"very sparse single colonies (very very slow growing), white, no growth on control only Bd lawn"			
54K_2	54K	AA	2008-08-20	round 2 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	clear			
BTB_59_2	BTB_59	AA	2008-08-20	round 2 retry		Y	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, granular, regular edge"			
BTB_1_2	BTB_1	AA	2008-08-20	round 2 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"pink, granular, regular edge"			
BTB_9_2	BTB_9	AA	2008-08-20	round 2 retry		Y	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	clear (white)			
BTB_28_2	BTB_28	AA	2008-08-20	round 2 retry		Y	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, granular, regular edge"			
24J_3	24J	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no growth	no growth	no growth	NA	no growth			
20D_3	20D	AA	2008-08-20	round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, granular, lobate edge"			
20C_3	20C	AA	2008-08-20	round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, smooth thick center, undulate and clearer outer edge"			
17D_3	17D	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no growth	no growth	no growth	NA	no growth			
24I_3	24I	AA	2008-08-20	round 3 retry		N	2008-12-20	no growth	no growth	no growth	NA	no growth			
